EvaluationContext;TaxonId;ExpertGroup;SpeciesGroup;EvaluationCategory;RiskLevel;SpreadRiskLevel;EcologicalEffectRiskLevel;SpreadRiskDecisiveCriterias;EcologicalEffectDecisiveCriterias;EvaluatedScientificNameId;KongId;EvaluatedScientificName;AlienSpeciesCategory;IsEvaluated
S;61561;Karplanter ;karplanter (svalbard);AlienSpecie;0;1;1;;;101601;3;Stellaria media;AlienSpecie;True
S;61281;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101321;4;Thlaspi arvense;NotReproductive;False
S;62023;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102063;6;Trifolium pratense;NotReproductive;False
S;62024;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102064;7;Trifolium repens;NotReproductive;False
S;60863;Karplanter ;karplanter (svalbard);AlienSpecie;0;1;1;;;100903;8;Tripleurospermum maritimum;AlienSpecie;True
S;60129;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;100169;10;Poa trivialis;NotReproductive;False
S;62896;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102936;11;Polygonum aviculare;NotReproductive;False
S;63128;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;103168;13;Ranunculus repens;NotReproductive;False
S;61259;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101299;15;Rorippa sylvestris;NotReproductive;False
S;62913;Karplanter ;karplanter (svalbard);AlienSpecie;1;2;1;a;;102953;16;Rumex acetosa;AlienSpecie;True
S;62932;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102972;18;Rumex longifolius;NotReproductive;False
S;61262;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101302;19;Sinapis arvensis;NotReproductive;False
S;61554;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101594;20;Stellaria graminea;NotReproductive;False
S;62257;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102297;22;Galeopsis tetrahit;NotReproductive;False
S;60970;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101010;23;Lappula myosotis;NotReproductive;False
S;60687;Karplanter ;karplanter;NotReproductive;;;;;;100727;24;Lepidotheca suaveolens;NotReproductive;False
S;63289;Karplanter ;karplanter;NotReproductive;;;;;;103329;25;Malus ×domestica;NotReproductive;False
S;61948;Karplanter ;karplanter;NotReproductive;;;;;;101988;26;Medicago polymorpha;NotReproductive;False
S;60981;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101021;27;Myosotis arvensis;NotReproductive;False
S;61987;Karplanter ;karplanter;NotReproductive;;;;;;102027;29;Pisum sativum;NotReproductive;False
S;60100;Karplanter ;karplanter (svalbard);AlienSpecie;0;1;1;;;100140;31;Poa annua;AlienSpecie;True
S;60120;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;100160;32;Poa palustris;NotReproductive;False
S;60352;Karplanter ;karplanter (svalbard);AlienSpecie;1;2;1;a;;100392;33;Achillea millefolium;AlienSpecie;True
S;59827;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;99867;34;Agrostis capillaris;NotReproductive;False
S;59874;Karplanter ;karplanter;NotReproductive;;;;;;99914;37;Avena sativa;NotReproductive;False
S;61063;Karplanter ;karplanter;AlienSpecie;1;2;2;a;e;101103;38;Barbarea vulgaris;AlienSpecie;True
S;61102;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101142;39;Capsella bursa-pastoris;NotReproductive;False
S;61349;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101389;41;Chenopodium album;NotReproductive;False
S;61129;Karplanter ;karplanter;NotReproductive;;;;;;101169;42;Conringia orientalis;NotReproductive;False
S;61138;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101178;44;Descurainia sophia;NotReproductive;False
S;63916;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;103956;45;Equisetum arvense arvense;NotReproductive;False
S;61179;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101219;46;Erysimum cheiranthoides;NotReproductive;False
S;62871;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102911;47;Fallopia convolvulus;NotReproductive;False
S;60393;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;100433;51;Artemisia absinthium;NotReproductive;False
S;62194;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102234;53;Erodium cicutarium;NotReproductive;False
S;60557;Karplanter ;karplanter;NotReproductive;;;;;;100597;54;Helianthus annuus;NotReproductive;False
S;60040;Karplanter ;karplanter;NotReproductive;;;;;;100080;55;Hordeum vulgare;NotReproductive;False
S;61946;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101986;56;Medicago lupulina;NotReproductive;False
S;61209;Karplanter ;karplanter;NotReproductive;;;;;;101249;57;Lepidium densiflorum;NotReproductive;False
S;78509;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;100165;58;Poa pratensis irrigata;NotReproductive;False
S;62069;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102109;60;Vicia sativa;NotReproductive;False
S;63204;Karplanter ;karplanter (svalbard);AlienSpecie;1;2;1;a;;103244;61;Alchemilla subcrenata;AlienSpecie;True
S;59943;Karplanter ;karplanter;NotReproductive;;;;;;99983;62;Dactylis glomerata;NotReproductive;False
S;61962;Karplanter ;karplanter;NotReproductive;;;;;;102002;63;Melilotus officinalis;NotReproductive;False
S;63332;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;103372;64;Prunus domestica domestica;NotReproductive;False
S;61258;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101298;65;Rorippa palustris palustris;NotReproductive;False
S;62165;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102205;66;Galium aparine;NotReproductive;False
S;62499;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;102539;67;Plantago media;NotReproductive;False
S;61523;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101563;68;Silene latifolia alba;NotReproductive;False
S;60872;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;100912;69;Tussilago farfara;NotReproductive;False
S;60232;Karplanter ;karplanter (svalbard);AlienSpecie;3;2;3;a;f;100272;71;Anthriscus sylvestris;AlienSpecie;True
S;60847;Karplanter ;karplanter (svalbard);AlienSpecie;1;2;1;a;;100887;72;Ruderalia;AlienSpecie;True
S;60356;Karplanter ;karplanter;NotReproductive;;;;;;100396;73;Achillea ptarmica;NotReproductive;False
S;61403;Karplanter ;karplanter;NotReproductive;;;;;;101443;74;Agrostemma githago;NotReproductive;False
S;63207;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;103247;76;Alchemilla wichurae;NotReproductive;False
S;59366;Karplanter ;karplanter;NotReproductive;;;;;;99406;77;Allium cepa;NotReproductive;False
S;59843;Karplanter ;karplanter;NotReproductive;;;;;;99883;78;Alopecurus myosuroides;NotReproductive;False
S;61061;Karplanter ;karplanter (svalbard);NotReproductive;;;;;;101101;79;Barbarea stricta;NotReproductive;False
