"Id";"ExpertGroup";"EvaluatedScientificNameId";"EvaluatedScientificName";"EvaluatedScientificNameAuthor";"reproductionGenerationTime"
519;"Karplanter";103793;"Abies alba";"Mill.";50
1866;"Karplanter";145490;"Abies amabilis";"Douglas ex J.Forbes";50
590;"Karplanter";103794;"Abies balsamea";"(L.) Mill.";50
1865;"Karplanter";145491;"Abies cephalonica";"Loudon";50
641;"Karplanter";103795;"Abies concolor";"(Gordon & Glend.) Lindl. ex Hildebr.";50
680;"Karplanter";103796;"Abies grandis";"(Douglas ex D.Don) Lindl.";50
1288;"Karplanter";128698;"Abies koreana";"E.H. Wilson";30
669;"Karplanter";103797;"Abies lasiocarpa";"(Hook.) Nutt.";50
1864;"Karplanter";145494;"Abies magnifica";"A.Murray bis";50
710;"Karplanter";127895;"Abies mariesii";"Mast.";50
699;"Karplanter";103798;"Abies nordmanniana";"(Steven) Spach";50
765;"Karplanter";103799;"Abies procera";"Rehder";50
1837;"Karplanter";145495;"Abies sachalinensis";"(F.Schmidt) Mart.";50
728;"Karplanter";103800;"Abies sibirica";"Ledeb.";50
1938;"Karplanter";145496;"Abies veitchii";"Lindl.";50
5283;"Karplanter";217333;"Acaena microphylla";"Hook f.";15
5284;"Karplanter";217334;"Acaena novae-zelandiae";"Kirk";15
5285;"Karplanter";217335;"Acaena ovalifolia";"Ruiz & Pav.";15
750;"Karplanter";103556;"Acer campestre";"L.";30
816;"Karplanter";103557;"Acer ginnala";"Maxim.";30
780;"Karplanter";103558;"Acer negundo";"L.";30
601;"Karplanter";103560;"Acer pseudoplatanus";"L.";30
2273;"Karplanter";170387;"Acer pseudosieboldianum";"(Pax) Kom.";30
5292;"Karplanter";172665;"Acer rubrum";"L.";30
5293;"Karplanter";217341;"Acer rufinerve";"Siebold & Zucc.";30
1568;"Karplanter";128836;"Acer saccharum";"Marshall";30
769;"Karplanter";103561;"Acer tataricum";"L.";30
2272;"Karplanter";170388;"Acer tegmentosum";"Maxim.";30
5296;"Karplanter";217344;"Achillea crithmifolia";"Waldst. & Kit.";5
892;"Karplanter";100395;"Achillea nobilis";"L.";5
882;"Karplanter";100396;"Achillea ptarmica";"L.";5
872;"Karplanter";100397;"Achillea tomentosa";"L.";5
903;"Karplanter";153940;"Aconitum ×cammarum";"L.";15
896;"Karplanter";143436;"Aconitum lasiostomum";"Rchb. ex Besser";15
935;"Karplanter";103076;"Aconitum napellus";"L.";15
927;"Karplanter";102897;"Aconogonon ×fennicum";"Reiersen";15
945;"Karplanter";102895;"Aconogonon alpinum";"(All.) Schur";15
968;"Karplanter";102896;"Aconogonon divaricatum";"(L.) Nakai";15
990;"Karplanter";102898;"Aconogonon weyrichii";"(F.Schmidt) H.Hara";15
979;"Karplanter";99300;"Acorus calamus";"L.";25
995;"Karplanter";103080;"Actaea rubra";"(Aiton) Willd.";15
1011;"Karplanter";127904;"Actinidia arguta";"(Siebold & Zucc.) Planch. ex Miq.";30
1030;"Karplanter";127907;"Actinidia kolomikta";"(Rupr. & Maxim.) Maxim.";30
1052;"Karplanter";100252;"Aegopodium podagraria";"L.";15
1084;"Karplanter";103564;"Aesculus hippocastanum";"L.";50
1882;"Karplanter";167197;"Aethusa cynapium domestica";"Wallr.";2
1075;"Karplanter";102269;"Agastache rugosa";"(Fisch. & C.A.Mey.) Kuntze";10
1116;"Karplanter";102270;"Agastache urticifolia";"(Benth.) Kuntze";10
1104;"Karplanter";99864;"Agropyron cristatum";"(L.) Gaertn.";15
2439;"Karplanter";101443;"Agrostemma githago";"L.";1
1148;"Karplanter";99870;"Agrostis scabra";"Willd.";3
1163;"Karplanter";103567;"Ailanthus altissima";"(Mill.) Swingle";30
1153;"Karplanter";102272;"Ajuga genevensis";"L.";15
5310;"Karplanter";217355;"Akebia quinata";"(Thunb. ex Houtt.) Decne.";15
1181;"Karplanter";102718;"Alcea rosea";"L.";2
1223;"Karplanter";103231;"Alchemilla heptagona";"Juz.";15
1174;"Karplanter";103233;"Alchemilla mollis";"(Buser) Rothm.";15
1910;"Karplanter";103241;"Alchemilla sarmatica";"Juz.";15
2409;"Karplanter";103243;"Alchemilla semilunaris";"Alechin";15
1907;"Karplanter";145502;"Alchemilla speciosa";"Buser";15
1300;"Karplanter";99408;"Allium ×hollandicum";NA;5
1229;"Karplanter";99404;"Allium angulosum";"L.";5
1905;"Karplanter";128701;"Allium caeruleum";"Pall.";5
1270;"Karplanter";99405;"Allium carinatum";"L.";5
5319;"Karplanter";154206;"Allium paradoxum";"(M.Bieb.) G.Don";5
1315;"Karplanter";143442;"Allium rotundum";"L.";5
1324;"Karplanter";99413;"Allium schoenoprasum schoenoprasum";NA;10
1529;"Karplanter";99414;"Allium scorodoprasum";"L.";10
2352;"Karplanter";170190;"Allium siculum";"Ucria";5
1304;"Karplanter";99420;"Allium victorialis";"L.";15
1285;"Karplanter";143443;"Alnus alnobetula";"(Ehrh.) K.Koch";30
5323;"Karplanter";217364;"Alnus cordata";"(Loisel.) Duby";30
5324;"Karplanter";165264;"Alnus incana rugosa";"(Du Roi) R.T.Clausen";30
5325;"Karplanter";217365;"Alnus rubra";"Bong.";30
5326;"Karplanter";154233;"Alnus sinuata";"(Regel) Rydb.";30
418;"Karplanter";99886;"Alopecurus pratensis pratensis";NA;25
1328;"Karplanter";101073;"Alyssum alyssoides";"(L.) L.";1
1413;"Karplanter";101349;"Amaranthus hybridus";"L.";1
1874;"Karplanter";143616;"Amaranthus hypochondriacus powellii";NA;1
1501;"Karplanter";101356;"Amaranthus retroflexus";"L.";1
