ScientificNameId	ScientificName	ScientificNameAuthor
216042	Allolobophoridella eiseni	(Levinsen, 1884)
216068	Bimastos parvus	(Eisen, 1874)
216047	Amynthas agrestis	(Goto & Hatai, 1899)
216048	Amynthas corticis	(Kinberg, 1867)
216411	Zilla diodia	(Walckenaer, 1802)
216214	Mermessus denticulatus	(Banks, 1898)
173294	Mermessus trilobatus	(Emerton, 1882)
205012	Ero aphana	(Walckenaer, 1802)
133861	Zora parallela	Simon, 1878
205028	Cryptachaea blattea	(Urquhart, 1886)
216190	Latrodectus hasselti	Thorell, 1870
216113	Dermacentor variabilis	(Say, 1821)
216324	Stenopelmus rufinasus	Gyllenhal, 1836
216297	Rhopalapion longirostre	(Olivier, 1807)
5365	Acupalpus brunnipes	(Sturm, 1825)
216117	Elaphropus haemorrhoidalis	(Ponza, 1805)
216647	Syntomus foveolatus	(Dejean, 1831)
216235	Neoclytus acuminatus	(Fabricius, 1775)
216265	Philus antennatus	(Gyllenhal, 1817)
216284	Pronocera angusta	(Kriechbaumer, 1844)
216344	Tetropium gracilicorne	Reitter, 1889
216168	Trichoferus campestris	(Faldermann, 1835)
6927	Bruchus rufimanus	Boheman, 1833
216105	Dactylispa pallidipennis	(Motschulsky, 1861)
216129	Epitrix subcrinita	(J.L. LeConte, 1857)
216210	Megabruchidius dorsalis	(Fåhraeus, 1839)
9455	Xylographus bostrychoides	(Dufour, 1843)
216302	Rodolia cardinalis	(Mulsant, 1850)
9175	Coccotrypes dactyliperda	(Fabricius, 1801)
216147	Gnathotrichus retusus	(LeConte, 1868)
9192	Hylastes ater	(Fabricius, 1792)
216170	Hylastes tenuis	Eichhoff, 1868
9219	Orthotomicus erosus	(Wollaston, 1857)
216261	Pentarthrum confine	Broun, 1880
8596	Pentarthrum huttoni	Wollaston, 1854
9234	Pityokteines curvidens	(Germar, 1824)
216275	Pityokteines spinidens	(Reitter, 1894)
9260	Scolytus pygmaeus	(Fabricius, 1787)
216625	Tomicus destruens	(Wollaston, 1865)
127688	Xylosandrus germanus	(Blandford, 1894)
6227	Trogoderma glabrum	(Herbst, 1783)
216397	Trogoderma inclusum	LeConte, 1854
216300	Rhynchophorus ferrugineus	(Olivier, 1790)
11009	Cercyon laminatus	Sharp, 1873
9595	Litargus balteatus	LeConte, 1856
7968	Carpophilus mutilatus	Erichson, 1843
7969	Carpophilus nepos	Murray, 1864
216213	Meligethinus pallidulus	(Erichson, 1843)
216322	Stelidota geminata	(Say, 1825)
216403	Urophorus humeralis	(Fabricius, 1798)
216290	Ptinella mekura	Kubota, 1943
6366	Ptinus latro	Fabricius, 1775
216279	Popillia japonica	Newman, 1841
9714	Anaspis fasciata	(Forster, 1771)
216043	Amischa forcipata	Mulsant & Rey, 1873
11623	Atheta triangulum	(Kraatz, 1856)
12667	Euplectus infirmus	Raffray, 1910
216221	Micrearota vestigialis	(Erichson, 1839)
12744	Othius laeviusculus	Stephens, 1833
12878	Philonthus spinipes	Sharp, 1874
12415	Platystethus capito	Heer, 1839
12416	Platystethus cornutus	(Gravenhorst, 1802)
12616	Proteinus ovalis	Stephens, 1832
12710	Pseudoplectus perplexus	(Jacquelin du Val, 1854)
12946	Quedius semiaeneus	(Stephens, 1833)
216343	Tetralaucopora longitarsis	(Erichson, 1837)
13000	Xantholinus longiventris	Heer, 1839
19777	Rabdophaga strobilina	(Bremi, 1847)
19512	Contarinia acerplicans	(Kieffer, 1889)
19566	Dasineura alpestris	(Kieffer, 1909)
127778	Dasineura gleditchiae	Osten Sacken, 1866
19588	Dasineura ingeris	Sylvén & Lövgren, 1995
19593	Dasineura leguminicola	(Lintner, 1879)
19636	Didymomyia tiliacea	(Bremi, 1847)
19727	Mayetiola destructor	(Say, 1817)
19911	Mycophila speyeri	Barnes, 1926
127760	Obolodiplosis robiniae	(Haldeman, 1847)
19762	Prodiplosis violicola	(Coquillett, 1900)
19764	Rabdophaga albipennis	(Loew, 1850)
19766	Rabdophaga degeerii	(Bremi, 1847)
216293	Rabdophaga marginemtorquens	(Bremi, 1847)
19779	Rabdophaga viminalis	(Westwood, 1847)
216108	Dasyhelea turficola	Kieffer, 1925
216099	Culex modestus	Ficalbi, 1889
216326	Stilpon subnubilus	Chvala, 1988
216315	Schoenomyza dorsalis	Loew, 1872
216071	Bradysia nomica	Mohrig & Rsschmann, 1996
216040	Adelges cooleyi	(Gillette, 1907)
135301	Dreyfusia nordmannianae	(Eckstein, 1890)
216273	Pineus similis	(Gillette, 1807)
216274	Pineus strobi	(Hartig, 1839)
169147	Massilieurodes chittendeni	(Laing, 1928)
135123	Trialeurodes vaporariorum	(Westwood, 1856)
134775	Acyrthosiphon caraganae	(Cholodkovsky, 1908)
216057	Aphis aurantii	Boyer de Fonscolombe, 1841
134357	Aphis forbesi	Weed, 1889
134362	Aphis gossypii	Glover, 1877
134430	Aphis oenotherae	Oestlund, 1887
134336	Aphis spiraecola	Patch, 1914
134412	Aphis spiraephaga	F.P. Muller, 1961
216061	Appendiseta robiniae	(Gillette, 1907)
135029	Cinara cupressi	(Buckton, 1881)
216088	Cinara pinimaritimae	(Dufour, 1833)
134048	Colopha compressa	(Koch, 1856)
134884	Illinoia azaleae	(Mason, 1925)
134722	Impatientinum asiaticum	Nevsky, 1929
134862	Macrosiphum albifrons	Essig, 1911
216227	Myzocallis walshii	(Monell, 1879)
134654	Myzus ornatus	Laing, 1932
134661	Myzus persicae	Sulzer, 1776
216231	Myzus varians	Davidson, 1912
134832	Rhodobium porosum	(Sanderson, 1900)
134289	Rhopalosiphum maidis	(Fitch, 1856)
134292	Rhopalosiphum rufiabdominale	(Sasaki, 1899)
216376	Tinocallis nevskyi	Remaudière, Quednau & Heie, 1988
134951	Uroleucon erigeronense	(Thomas, 1878)
216058	Aphrophora saratogensis	(Fitch, 1851)
216151	Haematoloma dorsata	(Ahrens, 1812)
111385	Balclutha calamagrostis	Ossiannilsson, 1961
216183	Japananus hyalinus	(Osborn, 1900)
216414	Zyginidia scutellaris	(Herrich-Schaffer, 1838)
216082	Ceroplastes rubens	Maskell, 1839
135222	Coccus hesperidum	Linnaeus, 1758
135243	Parthenolecanium fletcheri	(Cockerell, 1893)
